Stage,Time_sample,Time_h,PV_available_kW,PV_command_kW,PV_curtailment_kW,SOC_pu,BESS_P_ch_A_kW,BESS_P_dis_A_kW,BESS_P_net_A_kW,BESS_Q_A_kvar,BESS_P_ch_B_kW,BESS_P_dis_B_kW,BESS_P_net_B_kW,BESS_Q_B_kvar,BESS_P_ch_C_kW,BESS_P_dis_C_kW,BESS_P_net_C_kW,BESS_Q_C_kvar,BESS_P_ch_total_kW,BESS_P_dis_total_kW,BESS_P_net_total_kW,BESS_Q_total_kvar,PV_curtailment_energy_kWh,PV_interval_curtailment_fraction
One-stage weighted objective,240,4.0,0.8028310228511782,-8.4248688551438e-12,0.8028310228596031,0.2091985512409878,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-6.327177652041339e-12,0.8028310308847633,0.8028310308910903,-23.009315238082806,-1.8981532956124015e-11,2.4084930926542896,2.408493092673271,-69.02794571424842,0.40141551142980153,1.0000000000104938
One-stage weighted objective,270,4.5,3.34813146317036,-8.424875663592644e-12,3.3481314631787846,0.20786049952262672,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-7.460077735566129e-12,3.3481314966569493,3.3481314966644096,-22.93405978305346,-2.2380233206698383e-11,10.044394489970848,10.044394489993229,-68.80217934916037,1.6740657315893923,1.0000000000025162
One-stage weighted objective,300,5.0,7.6124904720528,-8.424880465246583e-12,7.612490472061224,0.20228028036152176,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-6.853382031336551e-12,7.612490548182978,7.6124905481898315,-22.193147654832597,-2.0560146094009653e-11,22.837471644548934,22.837471644569494,-66.57944296449777,3.806245236030612,1.0000000000011067
One-stage weighted objective,1020,17.0,58.8676590442051,38.3119211746433,20.555737869561796,0.9734252639209997,1.1504186558975439e-05,12.072888472085586,12.072876967899026,0.4407883600838149,1.1504186558975439e-05,12.072888472085586,12.072876967899026,0.4407883600838149,1.1504186558975439e-05,12.072888472085586,12.072876967899026,0.4407883600838149,3.4512559676926316e-05,36.218665416256755,36.218630903697075,1.3223650802514446,10.277868934780898,0.34918558344788286
One-stage weighted objective,1050,17.5,21.38615526279812,-8.424881675765998e-12,21.386155262806543,0.9533037986648745,-7.129966177903488e-12,21.386155362803393,21.386155362810523,-11.24948068853835,-7.129966177903488e-12,21.386155362803393,21.386155362810523,-11.24948068853835,-7.129966177903488e-12,21.386155362803393,21.386155362810523,-11.24948068853835,-2.1389898533710466e-11,64.15846608841018,64.15846608843158,-33.748442065615045,10.693077631403272,1.000000000000394
One-stage weighted objective,1080,18.0,35.72629562474032,2.441954748174213,33.284340876566105,0.9176602063935259,5.967596572521342e-06,23.273802103426956,23.273796135830384,-5.187796986676544,5.967596572521342e-06,23.273802103426956,23.273796135830384,-5.187796986676544,5.967596572521342e-06,23.273802103426956,23.273796135830384,-5.187796986676544,1.7902789717564026e-05,69.82140631028088,69.82138840749114,-15.563390960029631,16.642170438283053,0.9316482522054941
One-stage weighted objective,1110,18.5,34.88048921037201,3.6664429587381435,31.214046251633867,0.8788705442777583,5.907441703849067e-06,23.5107964863036,23.510790578861897,0.4425171660182359,5.907441703849067e-06,23.5107964863036,23.510790578861897,0.4425171660182359,5.907441703849067e-06,23.5107964863036,23.510790578861897,0.4425171660182359,1.77223251115472e-05,70.5323894589108,70.53237173658569,1.3275514980547074,15.607023125816934,0.8948855637710523
One-stage weighted objective,1140,19.0,14.676355200650205,-8.424883719286955e-12,14.67635520065863,0.8396858914422987,-6.936148599501079e-12,14.67635530065548,14.676355300662415,-18.528147720760632,-6.936148599501079e-12,14.67635530065548,14.676355300662415,-18.528147720760632,-6.936148599501079e-12,14.67635530065548,14.676355300662415,-18.528147720760632,-2.0808445798503238e-11,44.02906590196644,44.029065901987245,-55.58444316228189,7.338177600329315,1.000000000000574
One-stage weighted objective,1170,19.5,6.556644238336596,-8.42487875115994e-12,6.556644238345021,0.8152252992746374,-6.9624528538156744e-12,6.556644303908313,6.5566443039152755,-22.015098750258524,-6.9624528538156744e-12,6.556644303908313,6.5566443039152755,-22.015098750258524,-6.9624528538156744e-12,6.556644303908313,6.5566443039152755,-22.015098750258524,-2.0887358561447023e-11,19.66993291172494,19.669932911745825,-66.04529625077558,3.2783221191725107,1.000000000001285
One-stage weighted objective,1200,20.0,1.4787101336823925,-8.42486966448836e-12,1.4787101336908175,0.8042975587681142,-7.0024560380772e-12,1.4787101484747684,1.4787101484817708,-22.19981331355878,-7.0024560380772e-12,1.4787101484747684,1.4787101484817708,-22.19981331355878,-7.0024560380772e-12,1.4787101484747684,1.4787101484817708,-22.19981331355878,-2.10073681142316e-11,4.436130445424306,4.436130445445313,-66.59943994067633,0.7393550668454087,1.0000000000056977
One-stage weighted objective,1230,20.5,0.5138621598622417,-8.424866958698665e-12,0.5138621598706665,0.8018330418536078,-6.177965380757056e-12,0.5138621650061379,0.513862165012316,-22.168925759115556,-6.177965380757056e-12,0.5138621650061379,0.513862165012316,-22.168925759115556,-6.177965380757056e-12,0.5138621650061379,0.513862165012316,-22.168925759115556,-1.8533896142271168e-11,1.541586495018414,1.5415864950369478,-66.50677727734667,0.25693107993533326,1.000000000016395
